model	language	task	perturbation	probing_location	dev_acc	test_acc
mBERT	Afrikaans	number_noun		first	88.05	85.4
mBERT	Afrikaans	number_noun		last	97.2	95.3
mBERT	Afrikaans	number_noun	mBERT-char	first	66.45	61.3
mBERT	Afrikaans	number_noun	mBERT-char	last	92.3	90.65
mBERT	Afrikaans	number_noun	mBERT-rand-char	first	63.5	48.3
mBERT	Afrikaans	number_noun	mBERT-rand-char	last	88.0	85.15
mBERT	Afrikaans	number_noun	mBERT-rand-subw	first	60.65	51.6
mBERT	Afrikaans	number_noun	mBERT-rand-subw	last	81.1	83.8
mBERT	Albanian	case_noun		first	59.05	58.65
mBERT	Albanian	case_noun		last	70.75	69.35
mBERT	Albanian	case_noun	mBERT-char	first	61.55	56.0
mBERT	Albanian	case_noun	mBERT-char	last	69.85	64.1
mBERT	Albanian	case_noun	mBERT-rand-char	first	30.15	33.75
mBERT	Albanian	case_noun	mBERT-rand-char	last	54.85	54.45
mBERT	Albanian	case_noun	mBERT-rand-subw	first	32.6	34.5
mBERT	Albanian	case_noun	mBERT-rand-subw	last	55.4	53.75
mBERT	Albanian	case_propn		first	79.60199004975124	73.35
mBERT	Albanian	case_propn		last	89.1542288557214	83.05
mBERT	Albanian	case_propn	mBERT-char	first	77.4129353233831	75.65
mBERT	Albanian	case_propn	mBERT-char	last	85.92039800995026	80.8
mBERT	Albanian	case_propn	mBERT-rand-char	first	40.54726368159204	37.25
mBERT	Albanian	case_propn	mBERT-rand-char	last	80.74626865671641	72.85
mBERT	Albanian	case_propn	mBERT-rand-subw	first	42.53731343283582	38.35
mBERT	Albanian	case_propn	mBERT-rand-subw	last	72.636815920398	74.65
mBERT	Albanian	definite_noun		first	85.9	77.25
mBERT	Albanian	definite_noun		last	92.65	90.6
mBERT	Albanian	definite_noun	mBERT-char	first	77.8	74.85
mBERT	Albanian	definite_noun	mBERT-char	last	89.2	85.75
mBERT	Albanian	definite_noun	mBERT-rand-char	first	55.85	57.85
mBERT	Albanian	definite_noun	mBERT-rand-char	last	73.15	76.7
mBERT	Albanian	definite_noun	mBERT-rand-subw	first	57.75	56.45
mBERT	Albanian	definite_noun	mBERT-rand-subw	last	77.25	78.75
mBERT	Albanian	gender_noun		first	77.5	78.25
mBERT	Albanian	gender_noun		last	89.65	86.2
mBERT	Albanian	gender_noun	mBERT-char	first	62.95	63.75
mBERT	Albanian	gender_noun	mBERT-char	last	86.05	84.0
mBERT	Albanian	gender_noun	mBERT-rand-char	first	56.95	53.4
mBERT	Albanian	gender_noun	mBERT-rand-char	last	76.65	71.25
mBERT	Albanian	gender_noun	mBERT-rand-subw	first	51.15	51.0
