model	language	task	perturbation	probing_location	dev_acc	test_acc	probing_location_better
mBERT	Afrikaans	number_noun	mBERT-lc-3	last	92.25	91.5	True
mBERT	Albanian	case_noun	mBERT-lc-3	last	71.25	70.6	True
mBERT	Albanian	case_propn	mBERT-lc-3	last	88.00995024875621	82.15	True
mBERT	Albanian	definite_noun	mBERT-lc-3	last	89.3	88.7	True
mBERT	Albanian	gender_noun	mBERT-lc-3	last	85.4	83.4	True
mBERT	Albanian	gender_propn	mBERT-lc-3	last	90.6	81.9	True
mBERT	Albanian	number_noun	mBERT-lc-3	last	92.4	89.45	True
mBERT	Albanian	number_verb	mBERT-lc-3	last	91.85	91.15	True
mBERT	Arabic	aspect_verb	mBERT-lc-3	last	91.1	91.8	True
mBERT	Arabic	case_adj	mBERT-lc-3	last	67.56218905472636	63.08457711442787	True
mBERT	Arabic	case_noun	mBERT-lc-3	last	67.26368159203982	61.741293532338304	True
mBERT	Arabic	definite_noun	mBERT-lc-3	last	90.8955223880597	81.84079601990051	True
mBERT	Arabic	gender_adj	mBERT-lc-3	last	99.75	97.5	True
mBERT	Arabic	gender_verb	mBERT-lc-3	last	95.3	88.6	True
mBERT	Armenian	animacy_noun	mBERT-lc-3	last	77.5	80.0	True
mBERT	Armenian	definite_noun	mBERT-lc-3	last	98.65	98.35	True
mBERT	Armenian	subcat_verb	mBERT-lc-3	last	77.8	72.3	True
mBERT	Basque	case_noun	mBERT-lc-3	last	92.67942583732058	91.7224880382775	True
mBERT	Basque	definite_noun	mBERT-lc-3	last	80.7	81.75	True
mBERT	Basque	number_noun	mBERT-lc-3	last	87.75	85.4	True
mBERT	Bulgarian	aspect_verb	mBERT-lc-3	last	81.55	80.2	True
mBERT	Bulgarian	definite_adj	mBERT-lc-3	last	99.5	99.4	True
mBERT	Bulgarian	definite_noun	mBERT-lc-3	last	94.65	93.1	True
mBERT	Bulgarian	gender_adj	mBERT-lc-3	last	100.0	99.50248756218907	True
mBERT	Bulgarian	gender_noun	mBERT-lc-3	last	85.42288557213931	83.98009950248756	True
mBERT	Bulgarian	number_adj	mBERT-lc-3	last	99.5	98.0	True
mBERT	Bulgarian	number_verb	mBERT-lc-3	last	99.0	97.8	True
mBERT	Bulgarian	person_verb	mBERT-lc-3	last	94.0	95.87064676616916	True
mBERT	Bulgarian	tense_verb	mBERT-lc-3	last	84.85	82.18905472636816	True
mBERT	Bulgarian	verbform_verb	mBERT-lc-3	last	96.95	95.35	True
mBERT	Bulgarian	voice_verb	mBERT-lc-3	last	99.55	97.95	True
mBERT	Catalan	gender_adj	mBERT-lc-3	last	100.0	99.95	True
mBERT	Catalan	gender_noun	mBERT-lc-3	last	91.4	88.75	True
mBERT	Catalan	mood_verb	mBERT-lc-3	last	99.3	97.95	True
mBERT	Catalan	number_adj	mBERT-lc-3	last	99.7	99.1	True
mBERT	Catalan	number_noun	mBERT-lc-3	last	99.15	98.3	True
mBERT	Catalan	number_verb	mBERT-lc-3	last	99.5	99.15	True
mBERT	Catalan	tense_verb	mBERT-lc-3	last	91.1	91.9	True
mBERT	Catalan	verbform_verb	mBERT-lc-3	last	99.35643564356434	97.72277227722772	True
mBERT	Croatian	case_adj	mBERT-lc-3	last	81.5	82.17821782178218	True
mBERT	Croatian	case_noun	mBERT-lc-3	last	71.28078817733991	76.07843137254903	True
mBERT	Croatian	definite_adj	mBERT-lc-3	last	99.0	97.85	True
mBERT	Croatian	gender_adj	mBERT-lc-3	last	79.1044776119403	74.27860696517413	True
mBERT	Croatian	gender_noun	mBERT-lc-3	last	78.25870646766171	70.54726368159201	True
mBERT	Croatian	number_adj	mBERT-lc-3	last	87.4	91.55	True
mBERT	Croatian	number_noun	mBERT-lc-3	last	90.2	85.5	True
mBERT	Croatian	number_verb	mBERT-lc-3	last	97.15	95.75	True
mBERT	Croatian	tense_verb	mBERT-lc-3	last	98.9	98.5	True
mBERT	Croatian	verbform_verb	mBERT-lc-3	last	98.95522388059702	99.65174129353234	True
mBERT	Czech	animacy_adj	mBERT-lc-3	last	87.85	83.9	True
mBERT	Czech	animacy_noun	mBERT-lc-3	last	87.15	79.35	True
mBERT	Czech	animacy_propn	mBERT-lc-3	last	88.9	83.55	True
